episode,reward,loss,success_rate,latency,energy,adapt_time
0,10.727781974152535,294.0419006347656,0.76,2.3215073481943405,3.566453766500911,200
1,-45.875687007462524,718.4835205078125,0.54,3.0198376073526902,4.435112894153881,200
2,-46.242516968385296,486.3528137207031,0.48,3.0653860054159034,4.6870217997367245,200
3,-77.10224535911524,542.2608032226562,0.47,3.275405676634594,3.8899781374440736,200
4,-34.77529269650398,289.39306640625,0.64,2.7198489910485333,4.245190389438021,200
5,-10.015316794084569,260.3604736328125,0.57,2.114838403364291,4.843481953341237,200
6,-43.191295631164124,345.3900451660156,0.54,2.6788656164598312,4.438752894717623,200
7,-7.981781962484398,218.41383361816406,0.57,2.167617145518076,4.404629052034699,200
8,-21.961697324129208,140.79127502441406,0.57,2.352171594708268,4.684197092705125,200
9,-22.480374705594937,334.8153076171875,0.48,2.330454109338883,5.210847889478462,200
10,-29.105869939189365,160.39511108398438,0.5,2.3814104533828755,4.867006086875781,200
11,4.895090184660077,191.49964904785156,0.55,2.2350394754972593,4.647009321946098,200
12,-45.66569811942144,402.0621032714844,0.54,2.6240649035335353,4.682153672552603,200
13,-21.940761836874575,267.6250305175781,0.47,2.6926384815436357,6.058006145065511,200
14,21.75172305691155,247.32095336914062,0.65,1.9518423627384072,4.04689065902465,200
15,-17.721546220974293,178.80322265625,0.47,2.4479069959736655,5.843035302556796,200
16,4.076904984444106,169.89306640625,0.54,1.578015442760763,4.306100467986544,200
17,-25.323847768308852,194.8566436767578,0.51,2.3222513643842446,4.7877350198496815,200
18,-22.283993839928403,230.28309631347656,0.47,2.2549015417986626,4.62438470906551,200
19,1.1219762796903368,192.795654296875,0.68,2.0694868817619434,3.5255415927386786,200
20,-24.27475492057282,468.06597900390625,0.7,2.149480202367958,3.790359234598096,200
21,-19.89555734917608,173.59800720214844,0.57,2.416745925519177,4.657553266249827,200
22,-36.68213442989682,244.7578125,0.41,2.4149478910924826,4.7884657022833474,200
23,-9.800782748333468,147.9630126953125,0.51,2.34154474269236,5.25245508420898,200
24,-29.48583328601996,330.42803955078125,0.5,2.6845692110106834,4.673910357794957,200
25,-37.194912169214966,334.88592529296875,0.46,2.241623676079597,4.538170601211981,200
26,-34.265276335033604,423.80426025390625,0.44,2.408757234484496,5.04355252155386,200
27,-44.24642812145632,318.5650939941406,0.59,2.636469337882704,4.227369661097873,200
28,-35.33307740622833,250.45086669921875,0.49,2.8132663315623887,5.503574032092886,200
29,-16.09980080770866,190.4123077392578,0.67,2.5045409716450773,4.057560616749581,200
30,-70.71033665695275,332.2621765136719,0.44,2.8588013885535255,4.807920223729741,200
31,-14.325439128037544,130.77438354492188,0.6,2.357643899594523,4.285533470957412,200
32,-51.4752839075551,824.84716796875,0.4,2.7791860922580085,5.650244209521727,200
33,-11.544227729370498,156.84954833984375,0.5,2.1758172380458602,5.293312508201016,200
34,-27.538456928021855,199.0750732421875,0.5,2.228034073069208,4.912106915414446,200
35,-14.752098649869751,125.09674835205078,0.63,1.9213196580549914,4.062041465711335,200
36,-20.894566678092055,228.77618408203125,0.38,2.0820925461677544,5.521663136547836,200
37,-11.497166014500642,151.55856323242188,0.49,2.2044862582805935,5.417190078519564,200
38,-26.251449729727348,255.5611114501953,0.59,2.318863769550043,4.451909345599975,200
39,-7.529892392875219,176.02951049804688,0.48,1.9844042100557402,4.626143285026228,200
40,-19.16780267897972,211.32884216308594,0.51,2.274097922621221,5.1776307935223835,200
41,3.69742955740238,166.48135375976562,0.53,1.9256221040594628,5.188617337244041,200
