episode,reward,loss,success_rate,latency,energy,adapt_time
0,-85.26330988933705,0.0,0.73,1.7325289348179247,3.9643259283906334,3
1,-81.71188980641881,0.0,0.47,2.4929825564569033,5.500719318881934,3
2,-80.70794031156609,0.0,0.49,2.3333412636887534,5.100255962352783,3
3,-79.71544876219261,0.0,0.71,1.4022885486631071,3.4841301992167013,3
4,-81.0863651798394,0.0,0.68,1.5094339278147173,3.816807327245498,3
5,-74.7434687422737,0.0,0.41,2.2133108296520185,4.9283369613383075,3
6,-84.32710265878625,0.0,0.55,2.29260510570979,5.094988839651694,3
7,-81.78868930568872,0.0,0.67,1.6711298790521352,3.909015553860306,3
8,-82.91344578806222,0.0,0.64,1.790879440698456,4.247286184035493,3
9,-83.94746776105126,0.0,0.55,2.26981864873689,5.0373575412772365,3
10,-81.186598914649,0.0,0.43,2.6980161379877217,5.9036893530175325,3
11,-77.690416467196,0.0,0.52,1.9387510016700125,4.355704589010379,3
12,-80.07656967397367,0.0,0.44,2.4558037933741526,5.607682120125119,3
13,-82.03062646623876,0.0,0.64,1.7969129169697617,4.106328926864926,3
14,-84.4287161261689,0.0,0.76,1.634422763743507,3.71288284525573,3
15,-82.44973322815868,0.0,0.54,2.249256507736994,4.8845816031979234,3
16,-83.05594339283981,0.0,0.61,1.9001887281130243,4.468912749523786,3
17,-78.4335218231367,0.0,0.49,2.0694122688744865,4.768053421304938,3
18,-82.61928700894234,0.0,0.59,1.9529175739373166,4.5522339264113985,3
19,-79.92163797073941,0.0,0.48,2.200104455156166,5.133622349659295,3
20,-76.05019472888968,0.0,0.57,1.6345086687583736,3.7529552671804063,3
21,-80.21444710419306,0.0,0.5,2.221748014949268,4.932015413363977,3
22,-82.22341356195875,0.0,0.65,1.8108614227373083,4.052017528932693,3
23,-84.92825889683547,0.0,0.58,2.1277879893752667,4.958219608215034,3
24,-79.75289073990112,0.0,0.42,2.6424646985541522,5.762789255461283,3
25,-79.26661099792426,0.0,0.51,2.020510071416218,4.728296140355472,3
26,-85.47410648574042,0.0,0.53,2.4173218587279157,5.48456670945499,3
27,-82.23406439661962,0.0,0.44,2.691532014112951,5.980157719447981,3
28,-78.97934396761039,0.0,0.53,1.9593619142194374,4.488119791496014,3
29,-79.97985787353429,0.0,0.49,2.2601176051567586,4.9882795389592305,3
30,-80.57245489743374,0.0,0.68,1.6415775614689014,3.675160468888157,3
31,-85.31719698602724,0.0,0.59,2.171028037763541,4.900451571970304,3
32,-81.62914411626494,0.0,0.51,2.19362510744752,5.104980410249756,3
33,-79.4365070809093,0.0,0.57,1.8465585745019275,4.241020200627862,3
34,-78.86064340892514,0.0,0.46,2.238711969054705,5.154696930456373,3
35,-79.18630626756367,0.0,0.66,1.5590018349125911,3.6426666988412295,3
36,-80.44820477929136,0.0,0.53,2.087039006473721,4.701424794742641,3
37,-80.901651507211,0.0,0.48,2.349930354455973,5.262878886774307,3
38,-85.41654531075926,0.0,0.5,2.6818450097769544,5.742386557263372,3
