episode,reward,loss,success_rate,latency,energy,adapt_time
0,-126.39913253945866,1947.267578125,0.62,2.835155199310847,4.097442482080734,75
1,-177.3878386197955,3394.8916015625,0.59,3.0738537702930597,3.9612846765881016,75
2,-159.1276286304981,2182.437255859375,0.79,2.7015360764144516,3.198956221153017,75
3,-93.0627184687634,1659.480224609375,0.54,2.6936122527215907,4.664597231596187,75
4,-95.57676161129378,1242.27783203125,0.6,2.5859505394723126,4.539280732115284,75
5,-137.14012864206626,2395.522216796875,0.68,2.694065546192047,3.7406560819815455,75
6,-113.34369008000752,2196.798583984375,0.51,2.910191666246168,4.719661589100528,75
7,-100.66931433609201,1851.599853515625,0.41,3.0274853198930436,5.618656022865579,75
8,-118.09239434209253,2096.55078125,0.63,2.5695050392969487,4.486822380668575,75
9,-118.61349081642845,2179.4248046875,0.5,3.203106902454602,3.6972411444075983,75
10,-107.0413166645499,1309.7886962890625,0.61,2.3648796042938605,4.697134271591148,75
11,-146.3000406875349,2647.42919921875,0.54,3.265793527260871,4.41711001762538,75
12,-111.12029241247359,1941.516357421875,0.59,2.809379226921418,3.614712388551161,75
13,-99.58116909196467,1456.8895263671875,0.5,2.747759720686356,4.314806503496179,75
14,-158.26963566353345,2628.047119140625,0.53,3.149489781981073,4.80352771959837,75
15,-128.7669722803453,1829.337158203125,0.67,2.6621290724968056,4.129072404645299,75
16,-101.97538499534805,1815.2200927734375,0.5,2.7582685276126573,4.769978235299066,75
17,-104.79422238919835,1294.720947265625,0.63,2.6721214381315233,4.016896571580135,75
18,-123.94151620917842,2006.656982421875,0.58,2.6546758593265896,4.147100168591283,75
19,-143.07710910919744,2990.479248046875,0.56,2.5981954184031353,4.035919889056087,75
20,-137.30851997760055,2172.7724609375,0.56,3.0184179638877207,4.6069418340562285,75
21,-165.07284405276127,2406.529541015625,0.5,3.087711906256412,4.5031861249340865,75
22,-136.0337286480507,2505.060302734375,0.65,2.62541089223367,3.8349700750332674,75
23,-123.08802448924763,1892.0067138671875,0.5,3.1435451693630476,4.5556393577717404,75
24,-113.5616846851758,1499.2906494140625,0.65,2.443448886460354,3.71381742223685,75
25,-237.85395361911918,4501.7451171875,0.67,3.133238826863505,3.0497163937778917,75
26,-121.38181330821209,2082.445556640625,0.5,3.063610651263517,4.279641583296404,75
27,-147.8829805897613,2066.572265625,0.72,2.8662833129519196,3.4236507268267746,75
28,-114.88610248589201,1694.296630859375,0.61,2.5115834169965496,4.195161804922348,75
29,-115.35090942308376,1612.4013671875,0.58,2.8674201323082276,4.361520986810433,75
30,-159.8347331101445,2036.8914794921875,0.8,2.391699523483743,3.3828551934471514,75
31,-111.84997325559948,1644.1552734375,0.49,2.81568880816903,4.717150452761536,75
32,-103.43945800296933,1497.8597412109375,0.51,2.5337441154856744,5.04245964093062,75
33,-114.41606463302821,1304.767822265625,0.52,2.6857436784762108,4.914594457676117,75
34,-94.07937825521402,1256.618896484375,0.45,2.8630004655759267,5.977060257475955,75
35,-75.99397136060149,932.8131713867188,0.44,2.3309192215046193,4.742261153020755,75
36,-103.57804798931768,1279.1834716796875,0.58,2.3049918436661607,4.443845409719865,75
37,-83.73103787117299,1024.6390380859375,0.47,2.866535566858479,5.743548784905439,75
38,-122.9390008868912,1453.6748046875,0.52,2.5595816687291704,4.602173609723134,75
39,-105.71003177138422,1205.0498046875,0.62,2.1068241665831673,4.526280380987198,75
40,-90.75717886018462,990.7655639648438,0.53,2.3219251700713115,4.534811277961496,75
41,-99.35330680071894,1145.8475341796875,0.53,2.301074831846196,4.186427456934893,75
42,-113.30272212643555,1275.915283203125,0.57,2.271982022202053,4.414462676638232,75
43,-92.21710413201151,1217.2718505859375,0.49,2.4667813154031712,5.210030168700717,75
44,-113.43347861947997,1224.7469482421875,0.51,2.6201628474774488,4.881303505794602,75
45,-102.37931070093532,1512.366943359375,0.54,2.2457442853176013,4.659147625365363,75
46,-92.75346759879722,988.6547241210938,0.7,1.777165997329142,3.724581451870245,75
47,-103.261945058473,1189.3970947265625,0.72,2.0176625362362732,3.4860261722160524,75
48,-90.64395570810527,1120.666748046875,0.58,1.9275077164858514,4.2301369397410165,75
49,-123.06904285934806,1830.1075439453125,0.56,2.377746903430229,4.322633691509558,75
50,-90.93289071075046,1038.2017822265625,0.51,2.4113127817372,4.742976438121871,75
51,-91.65023075117496,1223.9063720703125,0.51,2.6080384751564627,4.782563599186182,75
52,-91.25688159492347,1052.871337890625,0.57,2.221814836497968,4.27821009811713,75
53,-84.91706341201383,728.6624145507812,0.75,1.6583091140477801,3.826453897911285,75
54,-91.22949828730577,1248.8211669921875,0.43,2.8306051601221682,5.6823106670538674,75
55,-92.23867886077653,934.4756469726562,0.62,2.0293076848110627,4.102596770416135,75
56,-91.13998668987713,868.6978149414062,0.52,2.1766511101793693,4.787143631679588,75
57,-105.63224135025236,1107.103271484375,0.7,1.9743203017849227,3.961762258864809,75
58,-83.12974569340338,793.605224609375,0.6,1.9029546473119108,4.570146958577941,75
59,-91.11872497394316,875.5260009765625,0.51,2.2555135244621303,4.856613425065694,75
60,-81.44314991687813,934.026123046875,0.44,2.5326140660011536,5.87986340265354,75
61,-90.494959181394,1037.1376953125,0.54,2.2004240563358066,4.444326004812824,75
62,-89.04072321088265,1028.97216796875,0.5,2.0518623848090187,4.668328260709735,75
63,-94.46761463038276,1025.4443359375,0.69,1.83955779559352,4.004166049400778,75
64,-84.65931753963343,750.0753784179688,0.67,1.768687092327075,4.288688922438467,75
65,-100.38565930908257,1114.0380859375,0.58,2.0635646189841754,4.032494242021674,75
66,-85.45089881944645,942.4387817382812,0.47,2.8113770255192043,6.137055916909857,75
67,-76.2353690680158,835.0755004882812,0.41,2.293046966942487,5.252347020922854,75
68,-83.43946486289676,762.40185546875,0.6,1.978803952632917,4.583842167499667,75
69,-82.54553940655484,749.9788818359375,0.62,1.7866747633605347,4.355943167764059,75
70,-82.8346998237966,658.2747802734375,0.73,1.5294548208210965,3.73317667504104,75
71,-81.46552917191897,795.2470092773438,0.52,2.2303000293685837,4.9359132876078196,75
72,-75.01453092386596,741.1470336914062,0.46,1.8889803555627052,4.493451327406901,75
73,-86.46155435952656,854.734130859375,0.53,2.680439992056575,5.539318562372948,75
74,-85.66131172384232,762.37060546875,0.63,2.0238262927735073,4.648612524064404,75
75,-80.31668771427141,693.4028930664062,0.61,1.7846754255394808,4.077611092848521,75
76,-82.77254098329374,827.3881225585938,0.49,2.4382315049097403,5.4691579176050755,75
77,-86.04705173757924,783.6570434570312,0.6,2.176052149223788,4.919815881651315,75
78,-77.61274116130076,756.1761474609375,0.47,1.9992996270209646,4.87540149740457,75
79,-81.00139806891806,808.3685913085938,0.46,2.540806935099619,5.469030895258467,75
80,-80.01712355330618,880.934814453125,0.38,3.055081528918225,6.371702275884617,75
81,-77.58257344071417,829.93359375,0.38,2.575856386658958,5.970643764753196,75
82,-79.35972531465953,685.6860961914062,0.57,1.9318333561156988,4.184912324513995,75
83,-84.5871116248286,842.6854248046875,0.49,2.59712743942075,5.760030489438317,75
84,-106.55147040106527,1084.3712158203125,0.64,2.2671517140243247,4.4045257189068145,75
85,-78.82361558975632,654.9315185546875,0.59,1.790483359639657,3.990116894715141,75
86,-81.49188637794609,718.3831787109375,0.55,1.9447202233361345,4.753437411594858,75
87,-86.17908273611464,744.588623046875,0.6,2.0495861939510114,5.005054025710268,75
88,-82.63464028082072,800.3451538085938,0.48,2.592311538984381,5.502727622345457,75
89,-78.44515817707577,648.231689453125,0.57,1.7084436441213304,4.1361568054964835,75
90,-86.78417494113212,775.29345703125,0.57,2.2927612043147745,5.306983422602634,75
91,-84.84909285745695,551.0929565429688,0.82,1.4357774546291464,3.532000645546029,75
92,-84.96909224053464,653.3285522460938,0.68,1.7221089306710555,4.281459099448979,75
93,-78.74392627540843,671.4805908203125,0.54,1.9343538478570594,4.355772386332287,75
94,-80.27876953133281,669.5164184570312,0.56,1.9772137165468686,4.41831627232171,75
95,-82.40576950012597,749.5729370117188,0.51,2.3053296964926857,5.20140760275875,75
96,-77.75255179413097,690.6442260742188,0.47,2.198376719511669,4.805609894314584,75
97,-79.03397192366384,767.509033203125,0.42,2.515903628883263,5.654898643573567,75
98,-83.68318955405273,653.4083862304688,0.61,2.0663726967245135,4.48864800476114,75
99,-85.27718186054015,724.6314697265625,0.58,2.217510712603402,4.973517378274189,75
100,-83.65408457160086,765.6323852539062,0.49,2.4297203784013397,5.6533203356158355,75
101,-81.53911017937152,715.5505981445312,0.5,2.5147138560751103,5.050465107836749,75
102,-89.37371994606534,905.8764038085938,0.56,1.9080292915558312,4.199269555286182,75
103,-78.6625188966476,624.9269409179688,0.54,1.8293037644586496,4.393221987520229,75
104,-76.36225125576483,602.0506591796875,0.54,1.6203475565077612,4.071724602443309,75
105,-83.92948529647478,586.8556518554688,0.69,1.7274581164442195,4.053587651411917,75
106,-76.62509651892555,659.9334716796875,0.45,1.9298663099215958,4.9517549603559905,75
107,-80.1438107969401,660.03125,0.51,2.113717941258301,4.853692166025773,75
108,-90.31985531436874,894.4157104492188,0.44,2.4885181577739712,5.493486546528288,75
109,-80.57204791754089,691.6904296875,0.47,2.386013215141957,5.3116844387143205,75
110,-100.65380840498818,720.4473876953125,0.64,1.799823703624616,3.7446045731858986,75
111,-82.73271243086455,656.3572998046875,0.54,2.1037536865431004,5.009736569851514,75
112,-84.85968661739277,451.5039978027344,0.92,1.2651809041618562,3.156505919374807,75
113,-79.9120350587404,581.0950317382812,0.58,1.8656067104610141,4.224444068690253,75
114,-82.20178329332074,595.07080078125,0.6,1.9250327132971932,4.404447525571525,75
115,-94.00045284222304,783.6503295898438,0.66,2.0140721959199226,4.067658356103181,75
